TimeStamp	Impedance_Z	Resistance_Rp	Capacity_Cp[pF]	Phase	Force
2025-03-03_04-03-46.851	99886700	668757000	0.0158	-81.41	114.49387
2025-03-03_04-03-47.260	90839100	355797000	0.0169	-75.208	117.65498
2025-03-03_04-03-47.669	90976400	488895000	0.0172	-79.276	120.86028
2025-03-03_04-03-48.079	76531100	185364000	0.0189	-65.615	124.06248
2025-03-03_04-03-48.488	86122200	464630000	0.0182	-79.318	127.12499
2025-03-03_04-03-48.897	96454200	524453000	0.0162	-79.402	129.30272
2025-03-03_04-03-49.307	98103100	682292000	0.0161	-81.733	131.73407
2025-03-03_04-03-49.716	90545100	-529400000	0.0173	-99.848	134.59448
2025-03-03_04-03-50.125	93543300	416920000	0.0166	-77.034	137.27923
2025-03-03_04-03-50.534	99637100	380271000	0.0154	-74.81	140.5727
2025-03-03_04-03-50.944	76935100	483678000	0.0204	-80.847	142.95697
2025-03-03_04-03-51.353	88898800	721260000	0.0178	-82.92	145.61084
2025-03-03_04-03-51.762	92007900	648049000	0.0171	-81.838	148.24296
2025-03-03_04-03-52.171	92644000	678514000	0.017	-82.152	150.58392
2025-03-03_04-03-52.581	90319100	609613000	0.0174	-81.48	152.1396
2025-03-03_04-03-52.990	89612200	863889000	0.0177	-84.046	153.59157
2025-03-03_04-03-53.399	78847900	136940000000	0.0202	-86.699	155.49925
2025-03-03_04-03-53.809	10856300	504566000	0.0143	-77.575	157.88041
2025-03-03_04-03-54.218	91568600	615866000	0.0172	-81.449	159.72591
2025-03-03_04-03-54.627	10886400	659989000	0.0144	-80.506	161.46304
2025-03-03_04-03-55.037	91030700	445767000	0.0171	-78.217	161.92519
2025-03-03_04-03-55.446	10995600	627382000	0.0143	-79.906	164.14867
2025-03-03_04-03-55.855	92819300	922019000	0.0171	-84.222	164.39518
2025-03-03_04-03-56.264	93752100	-191005000000	0.017	-92.813	166.00949
2025-03-03_04-03-56.674	87500200	290051000	0.0173	-72.442	167.10658
2025-03-03_04-03-57.083	99270900	788149000000	0.016	-89.278	167.39573
2025-03-03_04-03-57.492	92511300	103274000000	0.0171	-84.861	168.25629
2025-03-03_04-03-57.902	91792900	541862000	0.0171	-80.247	167.57139
